"genes","task_id","curr_size","top_cluster_gr10","glm_coef_gr10","seed_number"
"CXCL13",1,10,"c10",1.18917786506046,989
"CXCL14",1,10,"NoSig",0,989
"CXCL16",1,10,"NoSig",0,989
"CXCL17",1,10,"NoSig",0,989
"CXCL5",1,10,"NoSig",0,989
"CXCL8",1,10,"NoSig",0,989
"CXCL9",1,10,"c13",475.125013527421,989
"CXCR1",1,10,"NoSig",0,989
"CXCR2",1,10,"NoSig",0,989
"CXCR3",1,10,"NoSig",0,989
"CXCR4",1,10,"c4",3.04843177863053,989
"CXCR5",1,10,"NoSig",0,989
"CXCR6",1,10,"NoSig",0,989
"CYP1B1",1,10,"NoSig",0,989
"CYP2U1",1,10,"NoSig",0,989
"CYSTM1",1,10,"NoSig",0,989
"CYTOR",1,10,"NoSig",0,989
"DCN",1,10,"c10",2.31789442601757,989
"DDC",1,10,"NoSig",0,989
"DDIT3",1,10,"NoSig",0,989
"DDR1",1,10,"c2",1.31955790967021,989
"DDR2",1,10,"NoSig",0,989
"DDX58",1,10,"NoSig",0,989
"DHRS2",1,10,"NoSig",0,989
"DLL1",1,10,"NoSig",0,989
"DLL4",1,10,"NoSig",0,989
"DMBT1",1,10,"NoSig",0,989
"DNMT1",1,10,"NoSig",0,989
"DNMT3A",1,10,"NoSig",0,989
"DPP4",1,10,"NoSig",0,989
"DPT",1,10,"NoSig",0,989
"DST",1,10,"NoSig",0,989
"DUSP1",1,10,"c5",17.5902000707194,989
"DUSP2",1,10,"NoSig",0,989
"DUSP4",1,10,"NoSig",0,989
"DUSP5",1,10,"NoSig",0,989
"DUSP6",1,10,"NoSig",0,989
"EFNA1",1,10,"c2",3.60514047025173,989
"EFNA4",1,10,"NoSig",0,989
"EFNA5",1,10,"NoSig",0,989
"EFNB1",1,10,"NoSig",0,989
"EFNB2",1,10,"NoSig",0,989
"EGF",1,10,"NoSig",0,989
"EGFR",1,10,"NoSig",0,989
"EIF5A",1,10,"NoSig",0,989
"ELANE",1,10,"NoSig",0,989
"EMP3",1,10,"NoSig",0,989
"ENG",1,10,"NoSig",0,989
"ENO1",1,10,"c2",30.8725948371918,989
"ENTPD1",1,10,"NoSig",0,989
"EOMES",1,10,"NoSig",0,989
"EPCAM",1,10,"NoSig",0,989
"EPHA2",1,10,"NoSig",0,989
"EPHA3",1,10,"NoSig",0,989
"EPHA4",1,10,"NoSig",0,989
"EPHA7",1,10,"NoSig",0,989
"EPHB2",1,10,"NoSig",0,989
"EPHB3",1,10,"NoSig",0,989
